"clogid","cbussinessid","cobjectid","cobjectline","calarmcode","crecvoccurutctime"
"20028","","19726553","0","1524","2017/9/22 02:53:14"
"20277","","19726553","0","1524","2017/9/22 02:58:42"
"4105","","19726553","0","1524","2017/9/22 02:36:17"
"4204","","19726553","0","1524","2017/9/22 02:41:35"
"20030","","19726553","0","1524","2017/9/22 02:53:14"
"4106","","19726553","0","1524","2017/9/22 02:36:17"
"20274","","19726553","0","1524","2017/9/22 02:58:41"
"4107","","19726553","0","1524","2017/9/22 02:36:17"
"20275","","19726553","0","1524","2017/9/22 02:58:41"
"4108","","19726553","0","1524","2017/9/22 02:36:17"
"4210","","19726553","0","1524","2017/9/22 02:42:26"
"20276","","19726553","0","1524","2017/9/22 02:58:41"
"4111","","19726553","0","1524","2017/9/22 02:36:17"
"4181","","19726553","0","1524","2017/9/22 02:36:41"
"20016","","19726553","0","1524","2017/9/22 02:53:08"
"20233","","19726553","0","1524","2017/9/22 02:53:45"
"4112","","19726553","0","1524","2017/9/22 02:36:17"
"4182","","19726553","0","1524","2017/9/22 02:36:41"
"20017","","19726553","0","1524","2017/9/22 02:53:08"
"20234","","19726553","0","1524","2017/9/22 02:53:45"
"4125","","19726554","0","1524","2017/9/22 02:36:17"
"4169","","19726554","0","1524","2017/9/22 02:36:19"
"20036","","19726554","0","1524","2017/9/22 02:53:14"
"20229","","19726554","0","1524","2017/9/22 02:53:42"
"20345","","19726554","0","1524","2017/9/22 03:22:35"
"20355","","19726554","0","1524","2017/9/22 03:23:22"
"20379","","19726554","0","1524","2017/9/22 03:24:44"
"20385","","19726554","0","1524","2017/9/22 03:25:48"
"20448","","19726554","0","1524","2017/9/22 03:39:19"
"20483","","19726554","0","1524","2017/9/22 03:42:35"
"4126","","19726554","0","1524","2017/9/22 02:36:17"
"4170","","19726554","0","1524","2017/9/22 02:36:19"
"20038","","19726554","0","1524","2017/9/22 02:53:14"
"20230","","19726554","0","1524","2017/9/22 02:53:42"
